year,CP,LGA,JFK,EWR
1900,513,NA,NA,691
1901,780,NA,NA,919
1902,777,NA,NA,526
1903,1862,NA,NA,1509
1904,922,NA,NA,864
1905,627,NA,NA,770
1906,665,NA,NA,737
1907,594,NA,NA,864
1908,970,NA,NA,1013
1909,1219,NA,NA,1151
1910,660,NA,NA,655
1911,955,NA,NA,1011
1912,754,NA,NA,762
1913,1265,NA,NA,1516
1914,749,NA,NA,574
1915,826,NA,NA,1057
1916,676,NA,NA,671
1917,645,NA,NA,574
1918,508,NA,NA,528
1919,691,NA,NA,673
1920,561,NA,NA,1306
1921,681,NA,NA,549
1922,541,NA,NA,612
1923,622,NA,NA,546
1924,582,NA,NA,658
1925,544,NA,NA,NA
1926,848,NA,NA,NA
1927,975,NA,NA,NA
1928,429,NA,NA,NA
1929,549,NA,NA,NA
1930,770,NA,NA,NA
1931,411,NA,NA,NA
1932,605,NA,NA,NA
1933,1057,NA,NA,NA
1934,1234,NA,NA,NA
1935,406,NA,NA,437
1936,996,NA,NA,803
1937,780,NA,NA,658
1938,1029,NA,NA,648
1939,587,NA,NA,554
1940,795,721,NA,757
1941,754,927,NA,653
1942,1041,691,NA,826
1943,864,838,NA,1006
1944,1001,744,NA,1158
1945,787,551,NA,564
1946,688,724,NA,752
1947,607,665,NA,635
1948,587,493,622,706
1949,432,358,396,356
1950,577,775,251,696
1951,465,673,NA,734
1952,455,544,NA,556
1953,663,843,NA,643
1954,737,744,NA,925
1955,919,1626,NA,874
1956,612,838,NA,447
1957,648,544,NA,373
1958,556,622,NA,480
1959,457,417,411,724
1960,904,922,1481,645
1961,533,564,658,800
1962,592,465,577,597
1963,752,780,744,490
1964,328,340,414,406
1965,343,351,361,348
1966,1407,767,1140,1196
1967,546,528,516,427
1968,1013,612,732,914
1969,843,792,815,752
1970,668,498,386,490
1971,1057,1201,632,1506
1972,1422,1123,996,942
1973,932,871,516,772
1974,828,607,625,874
1975,584,810,782,594
1976,991,754,958,551
1977,1880,1067,655,1709
1978,859,716,516,762
1979,876,795,658,996
1980,881,876,800,706
1981,450,541,777,584
1982,693,513,518,747
1983,1095,724,861,704
1984,795,947,1593,836
1985,795,691,630,762
1986,556,610,503,800
1987,599,1016,404,498
1988,856,739,622,759
1989,762,841,724,622
1990,1179,653,686,716
1991,762,696,866,653
1992,711,696,648,754
1993,602,605,605,688
1994,475,594,607,523
1995,795,696,478,889
1996,1105,919,892,1026
1997,953,897,831,899
1998,648,899,640,683
1999,1275,1176,960,1580
2000,823,734,790,665
2001,549,460,599,422
2002,777,732,737,681
2003,699,767,551,688
2004,975,978,1041,787
2005,1082,1115,1184,1036
2006,914,688,541,1102
2007,1923,1699,881,1570
2008,828,815,638,925
2009,584,480,572,754
2010,980,800,582,1013
2011,1476,1676,1981,1626
2012,622,483,544,671
2013,1057,846,1019,942
2014,1262,1336,1189,1331
2015,533,503,630,947
2016,587,610,737,709
